"","Depmun","Departamento","Dep","Superficie","Poblacion","Irural","Region","municipio"
"1","05001","Antioquia","05",374.83062476,2483545,5,"Región Eje Cafetero","Medellín"
"2","05002","Antioquia","05",507.1341142,20258,45,"Región Eje Cafetero","Abejorral"
"3","05004","Antioquia","05",296.95598007,2710,58,"Región Eje Cafetero","Abriaquí"
"4","05021","Antioquia","05",128.93215315,4669,48,"Región Eje Cafetero","Alejandría"
"5","05030","Antioquia","05",84.13247691,30777,28,"Región Eje Cafetero","Amagá"
"6","05031","Antioquia","05",1209.12687145,26552,54,"Región Eje Cafetero","Amalfi"
"7","05034","Antioquia","05",402.50256241,43713,38,"Región Eje Cafetero","Andes"
"8","05036","Antioquia","05",81.87630162,5790,37,"Región Eje Cafetero","Angelópolis"
"9","05038","Antioquia","05",338.66648207,11462,47,"Región Eje Cafetero","Angostura"
"10","05040","Antioquia","05",1413.77390426,18737,58,"Región Eje Cafetero","Anorí"
"11","05042","Antioquia","05",525.60137455,26598,45,"Región Eje Cafetero","Santa Fé De Antioquia"
"12","05044","Antioquia","05",255.9233139,7085,48,"Región Eje Cafetero","Anzá"
"13","05045","Antioquia","05",535.17237724,124647,34,"Región Eje Cafetero","Apartadó"
"14","05051","Antioquia","05",754.25190197,29942,48,"Región Eje Cafetero","Arboletes"
"15","05055","Antioquia","05",245.34178234,7577,46,"Región Eje Cafetero","Argelia"
"16","05059","Antioquia","05",110.43497498,5085,43,"Región Eje Cafetero","Armenia"
"17","05079","Antioquia","05",205.66616815,53242,32,"Región Eje Cafetero","Barbosa"
"18","05086","Antioquia","05",296.15316705,6054,51,"Región Eje Cafetero","Belmira"
"19","05088","Antioquia","05",147.75841796,538527,12,"Región Eje Cafetero","Bello"
"20","05091","Antioquia","05",180.52598682,10274,42,"Región Eje Cafetero","Betania"
"21","05093","Antioquia","05",262.36750258,15736,42,"Región Eje Cafetero","Betulia"
"22","05101","Antioquia","05",260.44610792,26160,38,"Región Eje Cafetero","Ciudad Bolívar"
"23","05107","Antioquia","05",376.3467564,8065,52,"Región Eje Cafetero","Briceño"
"24","05113","Antioquia","05",355.21025575,9502,52,"Región Eje Cafetero","Buriticá"
"25","05120","Antioquia","05",1873.80283368,29716,56,"Región Eje Cafetero","Cáceres"
"26","05125","Antioquia","05",200.12988321,8420,46,"Región Eje Cafetero","Caicedo"
"27","05129","Antioquia","05",132.75593574,81658,24,"Región Eje Cafetero","Caldas"
"28","05134","Antioquia","05",206.34334641,9202,46,"Región Eje Cafetero","Campamento"
"29","05138","Antioquia","05",364.83123014,15490,46,"Región Eje Cafetero","Cañasgordas"
"30","05142","Antioquia","05",262.79877541,4537,53,"Región Eje Cafetero","Caracolí"
"31","05145","Antioquia","05",92.05778314,4670,42,"Región Eje Cafetero","Caramanta"
"32","05147","Antioquia","05",387.27064217,49659,40,"Región Eje Cafetero","Carepa"
"33","05148","Antioquia","05",423.64519157,61122,38,"Región Eje Cafetero","El Carmen De Viboral"
"34","05150","Antioquia","05",149.580818,3954,51,"Región Eje Cafetero","Carolina"
"35","05154","Antioquia","05",1429.12197616,93044,45,"Región Eje Cafetero","Caucasia"
